"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"00501","HOLTSVILLE, NY","A","D",0,"D",0,"D",0,2,"HOLTSVILLE","NY","SUFFOLK"
"01001","AGAWAM, MA",,"G",9033,"G",84256,"G",356861,453,"AGAWAM","MA","HAMPDEN"
"01002","AMHERST, MA",,"G",16422,"G",90914,"G",378362,572,"AMHERST","MA","HAMPSHIRE"
"01003","AMHERST, MA",,"G",199,"G",2003,"G",8009,15,"AMHERST","MA","HAMPSHIRE"
"01004","AMHERST, MA",,"H",161,"H",1140,"H",5107,16,"AMHERST","MA","HAMPSHIRE"
"01005","BARRE, MA",,"G",1259,"G",6492,"G",25041,94,"BARRE","MA","WORCESTER"
"01007","BELCHERTOWN, MA",,"G",1793,"G",12438,"G",53468,217,"BELCHERTOWN","MA","HAMPSHIRE"
"01008","BLANDFORD, MA",,"G",161,"H",738,"G",2728,18,"BLANDFORD","MA","HAMPDEN"
"01009","BONDSVILLE, MA",,"H",154,"G",2435,"G",7857,16,"BONDSVILLE","MA","HAMPDEN"
"01010","BRIMFIELD, MA",,"G",331,"G",3335,"G",14100,78,"BRIMFIELD","MA","HAMPDEN"
"01011","CHESTER, MA",,"G",38,"G",277,"G",1368,16,"CHESTER","MA","HAMPDEN"
"01012","CHESTERFIELD, MA",,"G",63,"H",350,"H",1430,10,"CHESTERFIELD","MA","HAMPSHIRE"
"01013","CHICOPEE, MA",,"G",4119,"G",33435,"G",144125,313,"CHICOPEE","MA","HAMPDEN"
"01014","CHICOPEE, MA","A","D",0,"D",0,"D",0,1,"CHICOPEE","MA","HAMPDEN"
"01020","CHICOPEE, MA",,"G",7718,"G",62852,"G",268734,539,"CHICOPEE","MA","HAMPDEN"
"01021","CHICOPEE, MA",,"G",229,"G",1253,"G",5554,9,"CHICOPEE","MA","HAMPDEN"
"01022","CHICOPEE, MA",,"G",2961,"G",35678,"G",147626,64,"CHICOPEE","MA","HAMPDEN"
"01026","CUMMINGTON, MA",,"H",117,"H",793,"H",4173,18,"CUMMINGTON","MA","HAMPSHIRE"
"01027","EASTHAMPTON, MA",,"G",3947,"G",33284,"G",138815,370,"EASTHAMPTON","MA","HAMPSHIRE"
"01028","EAST LONGMEADOW, MA",,"G",7896,"G",75845,"G",301949,506,"EAST LONGMEADOW","MA","HAMPDEN"
"01029","EAST OTIS, MA","C","D",0,"D",0,"D",0,13,"EAST OTIS","MA","BERKSHIRE"
"01030","FEEDING HILLS, MA",,"G",1049,"G",6689,"G",32991,195,"FEEDING HILLS","MA","HAMPDEN"
"01031","GILBERTVILLE, MA",,"G",71,"G",325,"G",1390,18,"GILBERTVILLE","MA","WORCESTER"
"01032","GOSHEN, MA",,"G",90,"G",786,"G",3691,22,"GOSHEN","MA","HAMPSHIRE"
"01033","GRANBY, MA",,"G",630,"G",4398,"G",20584,121,"GRANBY","MA","HAMPSHIRE"
"01034","GRANVILLE, MA",,"G",76,"G",714,"G",3344,27,"GRANVILLE","MA","HAMPDEN"
"01035","HADLEY, MA",,"G",4702,"G",32111,"G",130922,295,"HADLEY","MA","HAMPSHIRE"
"01036","HAMPDEN, MA",,"G",650,"G",4656,"G",23415,109,"HAMPDEN","MA","HAMPDEN"
"01037","HARDWICK, MA","C","D",0,"D",0,"D",0,13,"HARDWICK","MA","WORCESTER"
"01038","HATFIELD, MA",,"H",1386,"H",14204,"H",60193,59,"HATFIELD","MA","HAMPSHIRE"
"01039","HAYDENVILLE, MA",,"G",217,"H",1789,"H",7985,34,"HAYDENVILLE","MA","HAMPSHIRE"
"01040","HOLYOKE, MA",,"G",16818,"G",164389,"G",645655,897,"HOLYOKE","MA","HAMPDEN"
"01041","HOLYOKE, MA",,"G",916,"G",6125,"G",25219,30,"HOLYOKE","MA","HAMPDEN"
"01050","HUNTINGTON, MA",,"G",159,"G",1017,"G",4116,30,"HUNTINGTON","MA","HAMPSHIRE"
"01053","LEEDS, MA",,"H",1379,"H",23665,"H",94559,32,"LEEDS","MA","HAMPSHIRE"
